20 Dates,"['Myles Berkowitz', ' Elisabeth Wagner', ' Tia Carrere']",['Mockumentary']
Shakespeare in Love,"['Gwyneth Paltrow', ' Joseph Fiennes', ' Geoffrey Rush', ' Colin Firth', ' Ben Affleck', ' Judi Dench']",['Drama']
The Siege,"['Denzel Washington', ' Annette Bening', ' Tony Shalhoub', ' Bruce Willis']",['Drama']
Simon Birch,"['Ian Michael Smith', ' Joseph Mazzello', ' Ashley Judd', ' Oliver Platt']",['Comedy']
A Simple Plan,"['Billy Bob Thornton', ' Bridget Fonda', ' Bill Paxton', ' Gary Cole']",['Drama']
Since You've Been Gone,"['David Schwimmer', ' Lara Flynn Boyle', ' Teri Hatcher']",['Rom com']
"Six Days, Seven Nights","['Harrison Ford', ' Anne Heche', ' Allison Janney', ' David Schwimmer']",['Adventure']
Six-String Samurai,"['Jeffrey Falcon', ' Clifford Hugo', ' Lora Witty']",['Action']
Slam,"['Saul Williams', ' Bönz Malone', ' Sonja Sohn']",['Drama']
Slappy and the Stinkers,"['B. D. Wong', ' Bronson Pinchot', ' Jennifer Coolidge']",['Comedy']
Slums of Beverly Hills,"['Natasha Lyonne', ' Alan Arkin', ' Marisa Tomei']",['Comedy']
Small Soldiers,"['Gregory Smith', ' Kirsten Dunst', ' Frank Langella', ' Tommy Lee Jones']",['Science fiction']
Smoke Signals,"['Adam Beach', ' Irene Bedard', ' Gary Farmer']",['Comedy']
Snake Eyes,"['Nicolas Cage', ' Gary Sinise', ' Carla Gugino', ' John Heard', ' Stan Shaw']",['Thriller']
Soldier,"['Kurt Russell', ' Jason Scott Lee', ' Connie Nielsen', ' Gary Busey']",['Science fiction']
Somewhere in the City,"['Sandra Bernhard', ' Ornella Muti', ' Robert John Burke', ' Peter Stormare', ' Bai Ling']",['Comedy-drama']
Sour Grapes,"['Steven Weber', ' Craig Bierko', ' Jennifer Leigh Warren']",['Comedy']
Species II,"['Natasha Henstridge', ' Michael Madsen', ' Marg Helgenberger', ' James Cromwell', ' Mykelti Williamson', ' George Dzundza']",['Science fiction']
Sphere,"['Dustin Hoffman', ' Sharon Stone', ' Samuel L. Jackson', ' Liev Schreiber']",['Science fiction']
Spice World,"['Spice Girls', ' Richard E. Grant', ' Alan Cumming', ' George Wendt', ' Roger Moore']","['Musical', ' Comedy']"
Star Trek: Insurrection,"['Patrick Stewart', ' F. Murray Abraham', ' Donna Murphy']",['Science fiction']
Stepmom,"['Julia Roberts', ' Susan Sarandon', ' Ed Harris']",['Drama']
Strangeland,"['Kevin Gage', ' Robert Englund', ' Amy Smart']",['Horror']
Suicide Kings,"['Christopher Walken', ' Denis Leary', ' Sean Patrick Flanery', ' Johnny Galecki', ' Jay Mohr', ' Jeremy Sisto', ' Henry Thomas', ' Cliff DeYoung', ' Laura San Giacomo']",['Crime']
Target Zero II,"['Walter Cherry', ' Mark Lenard', ' Wesley Shane Winter', ' Walter Quiggins', '']",['Action']
Tarzan and the Lost City,"['Casper Van Dien', ' Jane March', ' Ian Roberts']",['Adventure']
There's Something About Mary,"['Ben Stiller', ' Cameron Diaz', ' Matt Dillon', ' Keith David', ' Markie Post']",['Comedy']
Thick as Thieves,"['Alec Baldwin', ' Andre Braugher', ' Rebecca De Mornay']",['Crime drama']
The Thin Red Line,"['Sean Penn', ' Adrien Brody', ' Jim Caviezel', ' Ben Chaplin', ' George Clooney', ' John Cusack', ' Woody Harrelson', ' Elias Koteas', ' Jared Leto', ' Nick Nolte', ' John C. Reilly', ' John Travolta']","['Drama', ' War']"
The Truman Show,"['Jim Carrey', ' Ed Harris', ' Laura Linney', ' Noah Emmerich', ' Natascha McElhone']",['Fantasy']
Twilight,"['Paul Newman', ' Gene Hackman', ' Susan Sarandon', ' James Garner', ' Reese Witherspoon', ' Stockard Channing', ' Liev Schreiber']",['Neo-noir']
U.S. Marshals,"['Tommy Lee Jones', ' Wesley Snipes', ' Robert Downey', ' Jr.', ' Joe Pantoliano', ' Irène Jacob']",['Action']
Urban Legend,"['Jared Leto', ' Alicia Witt', ' Rebecca Gayheart', ' Joshua Jackson', ' Loretta Devine', ' Tara Reid', ' Robert Englund']",['Horror']
