Abe Lincoln in Illinois,"['Raymond Massey', ' Gene Lockhart', ' Ruth Gordon']","['Drama', ' Biography']"
My Love Came Back,"['Olivia de Havilland', ' Jeffrey Lynn', ' Jane Wyman']",['Romance']
"My Son, My Son!","['Madeleine Carroll', ' Brian Aherne', ' Louis Hayward']",['Drama']
Mysterious Doctor Satan,['Eduardo Ciannelli'],['Serial']
Mystery Sea Raider,['Carole Landis'],['Drama']
New Moon,"['Jeanette MacDonald', ' Nelson Eddy']",['Musical drama']
A Night at Earl Carroll's,"['Ken Murray', '  J. Carrol Naish', ' Rose Hobart']",['Musical']
"No Census, No Feeling",['The Three Stooges'],['Comedy Short']
North West Mounted Police,"['Gary Cooper', ' Madeleine Carroll', ' Paulette Goddard']",['Western']
Northwest Passage,"['Spencer Tracy', ' Robert Young', ' Walter Brennan']",['Adventure']
No Time for Comedy,"['James Stewart', ' Rosalind Russell']",['Comedy']
Nutty But Nice,['The Three Stooges'],['Comedy Short']
Of Fox and Hounds,['Willoughby the Dog'],['Animated Short']
The Old Swimmin' Hole,"['Jackie Moran', ' Marcia Mae Jones']",['Drama']
One Man's Law,"['Don ""Red"" Barry', ' Janet Waldo']",['Western']
One Million B.C.,"['Victor Mature', ' Carole Landis', ' Lon Chaney Jr.']",['Fantasy']
One Night in the Tropics,"['Abbott and Costello', ' Nancy Kelly', ' Allan Jones']",['Comedy']
On Their Own,"['Spring Byington', ' June Carlson']",['Comedy']
Opened by Mistake,"['Charles Ruggles', ' Janice Logan']",['Comedy']
Our Town,"['William Holden', ' Martha Scott', ' Fay Bainter']",['Drama']
Out West with the Peppers,['Edith Fellows'],['Western']
Parole Fixer,"['William Henry', ' Anthony Quinn']",['Drama']
Patient Porky,['Porky Pig'],['Animated Short']
Phantom of Chinatown,"['Keye Luke', ' Grant Withers']",['Mystery']
Phantom Raiders,"['Walter Pidgeon', ' Florence Rice']",['Drama']
The Philadelphia Story,"['Cary Grant', ' Katharine Hepburn', ' James Stewart']",['Screwball comedy']
Pier 13,"['Lynn Bari', ' Lloyd Nolan']",['Drama']
Pinocchio,"['voices of Cliff Edwards', ' Evelyn Venable', ' Mel Blanc']",['Animated']
Pride and Prejudice ,"['Greer Garson', ' Laurence Olivier', ' Edward Ashley']",['Drama']
Pride of the Bowery,"['East Side Kids', ' Mary Ainslee']",['Family']
Primrose Path,"['Ginger Rogers', ' Joel McCrea', ' Marjorie Rambeau']",['Drama']
Private Affairs,"['Nancy Kelly', ' Roland Young', ' Robert Cummings']",['Comedy']
Public Deb No. 1,"['Brenda Joyce', ' George Murphy']",['Comedy']
Puss Gets the Boot,['Lillian Randolph'],['Animated Short']
The Quarterback,"['Wayne Morris', ' Virginia Dale', ' Lillian Cornell']",['Comedy']
Queen of the Mob,"['Ralph Bellamy', ' Blanche Yurka']",['Crime']
Queen of the Yukon,"['Charles Bickford', ' Irene Rich', ' June Carlson']",['Adventure']
Quicker'n a Wink,['Harold E. Edgerton'],['Short Documentary']
Rancho Grande,"['Gene Autry', ' June Storey']",['Western']
The Ranger and the Lady,"['Roy Rogers', ' Julie Bishop']",['Western']
Rangers of Fortune,"['Fred MacMurray', ' Albert Dekker', ' Patricia Morison']",['Western']
Rebecca,"['Laurence Olivier', ' Joan Fontaine']",['Suspense']
Remedy for Riches,"['Jean Hersholt', ' Dorothy Lovett']",['Drama']
Remember the Night,"['Barbara Stanwyck', ' Fred MacMurray']",['Romantic drama']
The Return of Frank James,"['Henry Fonda', ' Gene Tierney']",['Western']
Rhythm on the River,"['Bing Crosby', ' Mary Martin', ' Basil Rathbone']",['Musical Comedy']
Riders of Black Mountain,['Tim McCoy'],['Western']
"Ride, Tenderfoot, Ride","['Gene Autry', ' Mary Lee']",['Western']
River's End,"['Dennis Morgan', ' Elizabeth Inglis']",['Drama']
Road to Singapore,"['Bob Hope', ' Bing Crosby']",['Musical comedy']
Rockin' Thru the Rockies,['The Three Stooges'],['Comedy Short']
Rocky Mountain Rangers,"['Robert Livingston', ' Rosella Towne']",['Western']
Safari,"['Madeleine Carroll', ' Douglas Fairbanks Jr.']",['Adventure']
Sailor's Lady,"['Nancy Kelly', ' Jon Hall']",['Comedy']
The Saint Takes Over,"['George Sanders', ' Wendy Barrie']",['Crime']
The Saint's Double Trouble,"['George Sanders', ' Helene Whitney']",['Crime']
Santa Fe Marshal,"['William Boyd', ' Bernadene Hayes']",['Western']
Santa Fe Trail,"['Errol Flynn', ' Olivia de Havilland']",['Western']
Saps at Sea,['Laurel and Hardy'],['Comedy']
Saturday's Children,"['John Garfield', ' Anne Shirley']",['Drama']
Scatterbrain,"['Judy Canova', ' Alan Mowbray']",['Comedy']
The Sea Hawk,"['Errol Flynn', ' Brenda Marshall', ' Claude Rains']",['Adventure']
Second Chorus,"['Fred Astaire', ' Paulette Goddard', ' Artie Shaw']",['Musical Comedy']
Service with the Colors,"['Robert Armstrong', ' William Lundigan', "" Henry O'Neill""]",['Drama Short']
Seven Sinners,"['Marlene Dietrich', ' John Wayne']",['Adventure']
Seventeen,"['Betty Field', ' Jackie Cooper']",['Comedy']
She Couldn't Say No,"['Eve Arden', ' Roger Pryor']",['Comedy']
She Done Him Right,[''],['Comedy']
Shooting High,"['Jane Withers', ' Gene Autry', ' Marjorie Weaver']",['Western musical']
The Shop Around the Corner,"['James Stewart', ' Margaret Sullavan']",['Romantic comedy']
Siege,['Julien Bryan'],['Documentary Short']
"Sing, Dance, Plenty Hot","['Ruth Terry', ' Johnny Downs', ' Mary Lee']",['Musical']
Ski Patrol,"['Luli Deste', ' Philip Dorn']",['Drama']
Sky Murder,"['Walter Pidgeon', ' Joyce Compton']",['Mystery']
Son of Ingagi,"['Zack Williams', ' Laura Bowman']",['Sci-fi']
The Son of Monte Cristo,"['Louis Hayward', ' Joan Bennett', ' George Sanders']",['Adventure']
Son of the Navy,"['Jean Parker', ' James Dunn']",['Comedy']
South of Pago Pago,"['Jon Hall', ' Frances Farmer', ' Olympe Bradna']",['Adventure']
South of Suez,"['George Brent', ' Brenda Marshall']",['Drama']
So You Won't Talk,"['Joe E. Brown', ' Frances Robinson', ' Vivienne Osborne']",['Comedy']
Sporting Blood,"['Robert Young', "" Maureen O'Sullivan""]",['Drama']
Spring Parade,"['Deanna Durbin', ' Robert Cummings', ' Mischa Auer']","['Comedy', ' Musical']"
